policy,stock_id,stock_name,episode_start_date,episode_return_day0_to_day10,missed_winner
P10_STAGED_DAY1_DAY3,6213,聯茂,2026-06-17,34.01869158878505,True
P10_STAGED_DAY1_DAY3,7795,長廣,2026-06-17,52.75000000000001,True
P10_STAGED_DAY1_DAY3,2415,錩新,2026-06-22,37.45874587458744,True
P10_STAGED_DAY1_DAY3,6573,虹揚-KY,2026-06-23,28.132992327365724,True
P10_STAGED_DAY1_DAY3,2634,漢翔,2026-06-23,17.50503018108651,True
P10_STAGED_DAY1_DAY3,8046,南電,2026-06-23,13.311331133113312,True
P10_STAGED_DAY1_DAY3,4169,泰宗,2026-06-24,44.55958549222798,True
P10_STAGED_DAY1_DAY3,Plastics,塑膠類指數,2026-06-24,13.321884200196266,True
P10_STAGED_DAY1_DAY3,2352,佳世達,2026-06-24,12.418300653594772,True
P10_STAGED_DAY1_DAY3,1709,和益,2026-06-25,14.018691588785035,True
