unit,feature,outcome,n,median,p25,p75,mean,effect_size_winner_vs_neutral,observed_winner_direction,dates_with_winner_neutral_comparison,direction_consistency_by_date,single_date_risk,discovery_p25,discovery_p75,winner_top_quartile_rate,winner_bottom_quartile_rate,neutral_top_quartile_rate,loser_top_quartile_rate
DAY3,market_outperform_days_count_3d,NEUTRAL,134,2.0,1.0,2.0,1.507462686567164,0.5204532706267945,HIGHER,6,0.5,False,1.0,2.0,0.6666666666666666,0.3333333333333333,0.5074626865671642,0.10526315789473684
DAY3,market_outperform_days_count_3d,LOSER,19,1.0,1.0,1.0,0.8947368421052632,0.5204532706267945,HIGHER,6,0.5,False,1.0,2.0,0.6666666666666666,0.3333333333333333,0.5074626865671642,0.10526315789473684
DAY3,momentum_rank_change_day0_to_day3,WINNER,10,37.5,-5.25,64.0,34.7,1.3061517659787802,HIGHER,5,1.0,False,-94.75,-13.25,0.6,0.0,0.1791044776119403,0.05263157894736842
DAY3,momentum_rank_change_day0_to_day3,NEUTRAL,86,-49.0,-93.0,-10.25,-54.02325581395349,1.3061517659787802,HIGHER,5,1.0,False,-94.75,-13.25,0.6,0.0,0.1791044776119403,0.05263157894736842
DAY3,momentum_rank_change_day0_to_day3,LOSER,7,-113.0,-156.5,-26.5,-84.14285714285714,1.3061517659787802,HIGHER,5,1.0,False,-94.75,-13.25,0.6,0.0,0.1791044776119403,0.05263157894736842
DAY3,day3_momentum_rank,WINNER,10,35.5,25.25,63.5,48.0,-1.1948329300548663,LOWER,5,1.0,False,78.75,160.75,0.0,0.5333333333333333,0.15671641791044777,0.15789473684210525
DAY3,day3_momentum_rank,NEUTRAL,86,126.0,78.75,156.75,132.01162790697674,-1.1948329300548663,LOWER,5,1.0,False,78.75,160.75,0.0,0.5333333333333333,0.15671641791044777,0.15789473684210525
DAY3,day3_momentum_rank,LOSER,7,149.0,82.5,217.5,149.85714285714286,-1.1948329300548663,LOWER,5,1.0,False,78.75,160.75,0.0,0.5333333333333333,0.15671641791044777,0.15789473684210525
DAY3,rs_change_day0_to_day3,WINNER,15,4.982661145382508,-0.7907390527032732,12.058641633470572,5.956410538474173,0.6334497686639043,HIGHER,6,1.0,False,-5.715892024705944,2.9471612725128153,0.6666666666666666,0.13333333333333333,0.29850746268656714,0.0
DAY3,rs_change_day0_to_day3,NEUTRAL,134,0.5578536593526948,-6.15535559540319,3.272052824234798,-2.944001408654712,0.6334497686639043,HIGHER,6,1.0,False,-5.715892024705944,2.9471612725128153,0.6666666666666666,0.13333333333333333,0.29850746268656714,0.0
DAY3,rs_change_day0_to_day3,LOSER,19,-9.189764891532306,-27.91692806112417,-3.3760603218610683,-18.039289752751962,0.6334497686639043,HIGHER,6,1.0,False,-5.715892024705944,2.9471612725128153,0.6666666666666666,0.13333333333333333,0.29850746268656714,0.0
DAY3,day3_rs_market_pct,WINNER,15,89.97113997113998,81.44134812971001,96.27964654216275,85.6280748887078,0.6691298116746773,HIGHER,6,1.0,False,68.88086642599278,85.89001447178003,0.6,0.13333333333333333,0.23134328358208955,0.21052631578947367
DAY3,day3_rs_market_pct,NEUTRAL,134,79.45119400010643,68.94059209943686,85.36541244573083,74.61174677363599,0.6691298116746773,HIGHER,6,1.0,False,68.88086642599278,85.89001447178003,0.6,0.13333333333333333,0.23134328358208955,0.21052631578947367
DAY3,day3_rs_market_pct,LOSER,19,72.83861671469741,48.08940158615717,80.32343872392678,62.187911992421064,0.6691298116746773,HIGHER,6,1.0,False,68.88086642599278,85.89001447178003,0.6,0.13333333333333333,0.23134328358208955,0.21052631578947367
DAY3,rs_positive_days_3d,WINNER,15,2.0,2.0,3.0,2.2,1.1346476932725225,HIGHER,6,0.5,False,1.0,2.0,0.8666666666666667,0.13333333333333333,0.40298507462686567,0.2631578947368421
DAY3,rs_positive_days_3d,NEUTRAL,134,1.0,1.0,2.0,1.3656716417910448,1.1346476932725225,HIGHER,6,0.5,False,1.0,2.0,0.8666666666666667,0.13333333333333333,0.40298507462686567,0.2631578947368421
DAY3,rs_positive_days_3d,LOSER,19,1.0,0.0,1.5,0.9473684210526315,1.1346476932725225,HIGHER,6,0.5,False,1.0,2.0,0.8666666666666667,0.13333333333333333,0.40298507462686567,0.2631578947368421
DAY3,institution_buy_days_day1_to_day3,WINNER,15,2.0,1.0,2.5,1.8,0.034372978804756676,HIGHER,6,0.5,False,1.0,2.0,0.6666666666666666,0.3333333333333333,0.664179104477612,0.2631578947368421
DAY3,institution_buy_days_day1_to_day3,NEUTRAL,134,2.0,1.0,2.0,1.7686567164179106,0.034372978804756676,HIGHER,6,0.5,False,1.0,2.0,0.6666666666666666,0.3333333333333333,0.664179104477612,0.2631578947368421
DAY3,institution_buy_days_day1_to_day3,LOSER,19,1.0,0.5,1.5,1.0526315789473684,0.034372978804756676,HIGHER,6,0.5,False,1.0,2.0,0.6666666666666666,0.3333333333333333,0.664179104477612,0.2631578947368421
DAY3,institution_flow_day1_to_day3,WINNER,15,18113717.15,-2108434.5,306688977.5,1549897785.7033334,0.22538881306773395,HIGHER,6,0.6666666666666666,False,-2283425.16,164573034.2,0.4,0.26666666666666666,0.19402985074626866,0.05263157894736842
DAY3,institution_flow_day1_to_day3,NEUTRAL,134,4777854.504999999,-953276.0625000002,54966879.292500004,-915790797.3452238,0.22538881306773395,HIGHER,6,0.6666666666666666,False,-2283425.16,164573034.2,0.4,0.26666666666666666,0.19402985074626866,0.05263157894736842
DAY3,institution_flow_day1_to_day3,LOSER,19,-5123780.0,-42786240.72500001,-959119.1249999995,-130574120.2394737,0.22538881306773395,HIGHER,6,0.6666666666666666,False,-2283425.16,164573034.2,0.4,0.26666666666666666,0.19402985074626866,0.05263157894736842
DAY3,institution_flow_acceleration_day3,WINNER,15,0.0,-18814366.5,243267851.52499998,928069905.2433333,0.16607530841192333,HIGHER,6,1.0,False,-111373264.25,6471997.199999984,0.4,0.13333333333333333,0.21641791044776118,0.10526315789473684
DAY3,institution_flow_acceleration_day3,NEUTRAL,134,-12085466.324999994,-61258554.287499994,956246.075,-1375194351.6386564,0.16607530841192333,HIGHER,6,1.0,False,-111373264.25,6471997.199999984,0.4,0.13333333333333333,0.21641791044776118,0.10526315789473684
DAY3,institution_flow_acceleration_day3,LOSER,19,-19972210.2,-231356954.875,-4348782.074999999,-383078071.36052626,0.16607530841192333,HIGHER,6,1.0,False,-111373264.25,6471997.199999984,0.4,0.13333333333333333,0.21641791044776118,0.10526315789473684
DAY3,volume_confirmation_day1_to_day3,WINNER,15,1.0,1.0,2.0,1.4666666666666666,1.4303333140742984,HIGHER,6,1.0,False,0.0,1.0,0.9333333333333333,0.06666666666666667,0.291044776119403,0.3157894736842105
DAY3,volume_confirmation_day1_to_day3,NEUTRAL,134,0.0,0.0,1.0,0.41044776119402987,1.4303333140742984,HIGHER,6,1.0,False,0.0,1.0,0.9333333333333333,0.06666666666666667,0.291044776119403,0.3157894736842105
DAY3,volume_confirmation_day1_to_day3,LOSER,19,0.0,0.0,1.0,0.3684210526315789,1.4303333140742984,HIGHER,6,1.0,False,0.0,1.0,0.9333333333333333,0.06666666666666667,0.291044776119403,0.3157894736842105
DAY3,volume_without_price_progress_day1_to_day3,WINNER,15,0.0,0.0,1.0,0.4666666666666667,0.34629494825247775,HIGHER,6,0.5,False,0.0,0.0,1.0,0.6,1.0,1.0
DAY3,volume_without_price_progress_day1_to_day3,NEUTRAL,134,0.0,0.0,0.0,0.26865671641791045,0.34629494825247775,HIGHER,6,0.5,False,0.0,0.0,1.0,0.6,1.0,1.0
DAY3,volume_without_price_progress_day1_to_day3,LOSER,19,1.0,0.0,1.0,0.7894736842105263,0.34629494825247775,HIGHER,6,0.5,False,0.0,0.0,1.0,0.6,1.0,1.0
DAY3,trend_efficiency_day0_to_day3,WINNER,15,0.44680851063829785,0.22863666014350864,0.7,0.4912934355352881,-0.21472248596114554,LOWER,6,0.5,False,0.24444444444444632,1.0,0.13333333333333333,0.3333333333333333,0.3582089552238806,0.3684210526315789
DAY3,trend_efficiency_day0_to_day3,NEUTRAL,134,0.5400641025641,0.17500000000000288,1.0,0.5737597617950342,-0.21472248596114554,LOWER,6,0.5,False,0.24444444444444632,1.0,0.13333333333333333,0.3333333333333333,0.3582089552238806,0.3684210526315789
DAY3,trend_efficiency_day0_to_day3,LOSER,19,0.8305084745762712,0.4675324675324662,1.0,0.7136413944706868,-0.21472248596114554,LOWER,6,0.5,False,0.24444444444444632,1.0,0.13333333333333333,0.3333333333333333,0.3582089552238806,0.3684210526315789
DAY3,max_drawdown_day0_to_day3,WINNER,15,-2.1897810218978075,-4.881328176571149,-0.779640991176539,-3.0959390111048677,-0.05631764378360638,LOWER,6,0.5,False,-2.8888888888888853,0.0,0.13333333333333333,0.4,0.30597014925373134,0.0
DAY3,max_drawdown_day0_to_day3,NEUTRAL,134,-1.1288193425867288,-2.8933750916991157,0.0,-2.6232841375030005,-0.05631764378360638,LOWER,6,0.5,False,-2.8888888888888853,0.0,0.13333333333333333,0.4,0.30597014925373134,0.0
DAY3,max_drawdown_day0_to_day3,LOSER,19,-6.35451505016722,-9.07724474595739,-4.302539976980413,-7.354592643499986,-0.05631764378360638,LOWER,6,0.5,False,-2.8888888888888853,0.0,0.13333333333333333,0.4,0.30597014925373134,0.0
DAY3,day3_top120_status,WINNER,15,1.0,0.0,1.0,0.6,0.6296521398269649,HIGHER,6,0.6666666666666666,False,0.0,1.0,0.6,0.4,0.30597014925373134,0.15789473684210525
DAY3,day3_top120_status,NEUTRAL,134,0.0,0.0,1.0,0.30597014925373134,0.6296521398269649,HIGHER,6,0.6666666666666666,False,0.0,1.0,0.6,0.4,0.30597014925373134,0.15789473684210525
DAY3,day3_top120_status,LOSER,19,0.0,0.0,0.0,0.15789473684210525,0.6296521398269649,HIGHER,6,0.6666666666666666,False,0.0,1.0,0.6,0.4,0.30597014925373134,0.15789473684210525
DAY3,day3_source_count,WINNER,15,1.0,0.0,1.0,0.8,0.27261151078916607,HIGHER,6,0.5,False,0.0,1.0,0.6666666666666666,0.3333333333333333,0.6417910447761194,0.3684210526315789
DAY3,day3_source_count,NEUTRAL,134,1.0,0.0,1.0,0.6567164179104478,0.27261151078916607,HIGHER,6,0.5,False,0.0,1.0,0.6666666666666666,0.3333333333333333,0.6417910447761194,0.3684210526315789
DAY3,day3_source_count,LOSER,19,0.0,0.0,1.0,0.3684210526315789,0.27261151078916607,HIGHER,6,0.5,False,0.0,1.0,0.6666666666666666,0.3333333333333333,0.6417910447761194,0.3684210526315789
DAY3,breakout_hold_day3,WINNER,15,1.0,0.0,1.0,0.6,0.18421809334616918,HIGHER,6,0.3333333333333333,False,0.0,1.0,0.6,0.4,0.5074626865671642,0.10526315789473684
DAY3,breakout_hold_day3,NEUTRAL,134,1.0,0.0,1.0,0.5074626865671642,0.18421809334616918,HIGHER,6,0.3333333333333333,False,0.0,1.0,0.6,0.4,0.5074626865671642,0.10526315789473684
DAY3,breakout_hold_day3,LOSER,19,0.0,0.0,0.0,0.10526315789473684,0.18421809334616918,HIGHER,6,0.3333333333333333,False,0.0,1.0,0.6,0.4,0.5074626865671642,0.10526315789473684
DAY3,reacceleration_by_day3,WINNER,15,0.0,0.0,1.0,0.3333333333333333,0.7380210853963112,HIGHER,6,0.5,False,0.0,0.0,1.0,0.6666666666666666,1.0,1.0
DAY3,reacceleration_by_day3,NEUTRAL,134,0.0,0.0,0.0,0.09701492537313433,0.7380210853963112,HIGHER,6,0.5,False,0.0,0.0,1.0,0.6666666666666666,1.0,1.0
DAY3,reacceleration_by_day3,LOSER,19,0.0,0.0,0.0,0.0,0.7380210853963112,HIGHER,6,0.5,False,0.0,0.0,1.0,0.6666666666666666,1.0,1.0
DAY3,d3_relative_pass,WINNER,15,1.0,1.0,1.0,0.8666666666666667,0.5055325296377456,HIGHER,6,0.3333333333333333,False,0.0,1.0,0.8666666666666667,0.13333333333333333,0.6268656716417911,0.10526315789473684
DAY3,d3_relative_pass,NEUTRAL,134,1.0,0.0,1.0,0.6268656716417911,0.5055325296377456,HIGHER,6,0.3333333333333333,False,0.0,1.0,0.8666666666666667,0.13333333333333333,0.6268656716417911,0.10526315789473684
DAY3,d3_relative_pass,LOSER,19,0.0,0.0,0.0,0.10526315789473684,0.5055325296377456,HIGHER,6,0.3333333333333333,False,0.0,1.0,0.8666666666666667,0.13333333333333333,0.6268656716417911,0.10526315789473684
DAY3,d3_rs_health_pass,WINNER,15,1.0,1.0,1.0,0.8,0.37557485934148543,HIGHER,6,0.3333333333333333,False,0.0,1.0,0.8,0.2,0.6194029850746269,0.15789473684210525
DAY3,d3_rs_health_pass,NEUTRAL,134,1.0,0.0,1.0,0.6194029850746269,0.37557485934148543,HIGHER,6,0.3333333333333333,False,0.0,1.0,0.8,0.2,0.6194029850746269,0.15789473684210525
DAY3,d3_rs_health_pass,LOSER,19,0.0,0.0,0.0,0.15789473684210525,0.37557485934148543,HIGHER,6,0.3333333333333333,False,0.0,1.0,0.8,0.2,0.6194029850746269,0.15789473684210525
DAY3,d3_rank_health_pass,WINNER,15,1.0,0.0,1.0,0.6666666666666666,0.5031551253495263,HIGHER,6,0.6666666666666666,False,0.0,1.0,0.6666666666666666,0.3333333333333333,0.417910447761194,0.15789473684210525
DAY3,d3_rank_health_pass,NEUTRAL,134,0.0,0.0,1.0,0.417910447761194,0.5031551253495263,HIGHER,6,0.6666666666666666,False,0.0,1.0,0.6666666666666666,0.3333333333333333,0.417910447761194,0.15789473684210525
DAY3,d3_rank_health_pass,LOSER,19,0.0,0.0,0.0,0.15789473684210525,0.5031551253495263,HIGHER,6,0.6666666666666666,False,0.0,1.0,0.6666666666666666,0.3333333333333333,0.417910447761194,0.15789473684210525
DAY3,d3_flow_pass,WINNER,15,1.0,1.0,1.0,0.8,0.03971304514406741,HIGHER,6,0.16666666666666666,False,1.0,1.0,0.8,1.0,0.7835820895522388,0.5789473684210527
DAY3,d3_flow_pass,NEUTRAL,134,1.0,1.0,1.0,0.7835820895522388,0.03971304514406741,HIGHER,6,0.16666666666666666,False,1.0,1.0,0.8,1.0,0.7835820895522388,0.5789473684210527
DAY3,d3_flow_pass,LOSER,19,1.0,0.0,1.0,0.5789473684210527,0.03971304514406741,HIGHER,6,0.16666666666666666,False,1.0,1.0,0.8,1.0,0.7835820895522388,0.5789473684210527
DAY3,d3_controlled_pass,WINNER,15,0.0,0.0,0.0,0.13333333333333333,-0.4365826976626275,HIGHER,6,0.0,False,0.0,1.0,0.13333333333333333,0.8666666666666667,0.3358208955223881,0.0
DAY3,d3_controlled_pass,NEUTRAL,134,0.0,0.0,1.0,0.3358208955223881,-0.4365826976626275,HIGHER,6,0.0,False,0.0,1.0,0.13333333333333333,0.8666666666666667,0.3358208955223881,0.0
DAY3,d3_controlled_pass,LOSER,19,0.0,0.0,0.0,0.0,-0.4365826976626275,HIGHER,6,0.0,False,0.0,1.0,0.13333333333333333,0.8666666666666667,0.3358208955223881,0.0
