stock_id,stock_name,episode_start_date,dataset,normal_subregime,production_market_regime,market_path_state,entry_close,episode_return_day0_to_day10,episode_outcome,future_trade_date_10d,maturity_status,data_status
00954,中信日本半導體,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,21.08,6.166982922201147,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00935,野村臺灣新科技50,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,60.85,2.629416598192269,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00830,國泰費城半導體,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,98.45,-0.6602336211274817,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00951,台新日本半導體,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,19.75,6.278481012658221,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00735,國泰臺韓科技,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,113.0,3.4070796460176966,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
5471,松翰,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,57.4,7.317073170731714,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
009804,聯邦台精彩50,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,23.67,2.408111533586798,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
4551,智伸科,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,167.0,34.730538922155695,WINNER,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00930,永豐ESG低碳高息,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,24.74,0.8488278092158463,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00900,富邦特選高股息30,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,19.51,-1.5376729882111806,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
009802,富邦旗艦50,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,19.92,-2.5602409638554313,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00631L,元大台灣50正2,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,37.07,3.641758834637177,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
0050,元大台灣50,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,105.25,2.422802850356298,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00907,永豐優息存股,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,16.36,-0.916870415647908,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00905,FT臺灣Smart,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,27.7,2.743682310469331,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
3041,揚智,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,27.0,5.9259259259259345,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00988A,主動統一全球創新,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,22.36,-0.3577817531305816,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00912,中信臺灣智慧50,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,33.87,1.4762326542663071,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
5434,崇越,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,468.0,17.307692307692314,WINNER,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00850,元大臺灣ESG永續,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,90.35,1.8815716657443415,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00947,台新臺灣IC設計,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,38.66,2.6125193998965512,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00923,群益台ESG低碳50,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,42.39,1.5805614531729129,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00692,富邦公司治理,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,91.05,2.251510159253156,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6191,精成科,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,103.0,3.398058252427183,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00908,富邦入息REITs+,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,15.12,0.5952380952381153,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
006204,永豐臺灣加權,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,227.0,2.841409691629959,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00657,國泰日經225,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,80.8,1.9183168316831756,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00944,野村趨勢動能高息,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,21.36,4.260299625468167,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
006208,富邦台50,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,244.1,2.498975829578032,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00927,群益半導體收益,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,39.61,5.402676091895997,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
3044,健鼎,2026-06-15,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,520.0,-0.3846153846153832,NEUTRAL,2026-06-30,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00861,元大全球未來通訊,2026-06-16,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,95.6,1.5167364016736462,NEUTRAL,2026-07-01,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00913,兆豐台灣晶圓製造,2026-06-16,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,52.0,5.09615384615385,NEUTRAL,2026-07-01,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00892,富邦台灣半導體,2026-06-16,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,44.99,3.2451655923538603,NEUTRAL,2026-07-01,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00991A,主動復華未來50,2026-06-16,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,19.84,5.191532258064524,NEUTRAL,2026-07-01,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
0053,元大電子,2026-06-16,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,241.8,3.3912324234904867,NEUTRAL,2026-07-01,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00881,國泰台灣科技龍頭,2026-06-16,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,54.85,1.823154056517784,NEUTRAL,2026-07-01,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
009816,凱基台灣TOP50,2026-06-16,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,15.51,2.063185041908455,NEUTRAL,2026-07-01,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
1456,怡華,2026-06-16,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,14.55,-3.7800687285223455,NEUTRAL,2026-07-01,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00851,台新全球AI,2026-06-16,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,73.85,1.8280297901151157,NEUTRAL,2026-07-01,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00911,兆豐洲際半導體,2026-06-16,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,66.75,2.4719101123595655,NEUTRAL,2026-07-01,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00983A,主動中信ARK創新,2026-06-16,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,11.94,3.433835845896138,NEUTRAL,2026-07-01,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00989A,主動摩根美國科技,2026-06-16,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,18.36,2.8322440087146017,NEUTRAL,2026-07-01,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
009809,富邦淨零ESG50,2026-06-16,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,17.4,5.114942528735633,NEUTRAL,2026-07-01,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00898,國泰基因免疫革命,2026-06-16,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,8.44,10.18957345971565,NEUTRAL,2026-07-01,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00893,國泰智能電動車,2026-06-16,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,47.54,-0.0841396718552767,NEUTRAL,2026-07-01,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
0052,富邦科技,2026-06-16,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,61.85,4.122877930476965,NEUTRAL,2026-07-01,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00922,國泰台灣領袖50,2026-06-16,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,40.48,3.532608695652173,NEUTRAL,2026-07-01,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
0057,富邦摩台,2026-06-16,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,314.05,3.327495621716281,NEUTRAL,2026-07-01,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00980A,主動野村臺灣優選,2026-06-16,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,24.6,1.2601626016260026,NEUTRAL,2026-07-01,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
00995A,主動中信台灣卓越,2026-06-16,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,17.96,2.839643652561241,NEUTRAL,2026-07-01,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2340,台亞,2026-06-16,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,39.1,-10.10230179028133,LOSER,2026-07-01,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
1515,力山,2026-06-17,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,25.7,51.55642023346305,WINNER,2026-07-02,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
7786,東方風能,2026-06-17,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,129.0,-4.651162790697672,NEUTRAL,2026-07-02,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
9136,巨騰-DR,2026-06-17,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,16.65,-18.01801801801801,LOSER,2026-07-02,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
5469,瀚宇博,2026-06-17,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,86.6,1.039260969976907,NEUTRAL,2026-07-02,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2460,建通,2026-06-17,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,35.5,2.8169014084507005,NEUTRAL,2026-07-02,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2489,瑞軒,2026-06-17,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,48.6,-14.40329218106996,LOSER,2026-07-02,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
4722,國精化,2026-06-17,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,264.0,4.924242424242431,NEUTRAL,2026-07-02,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6213,聯茂,2026-06-17,A,RANGE_NORMAL,VOLATILE_RANGE,NORMAL,267.5,34.01869158878505,WINNER,2026-07-02,MATURED,RECONSTRUCTED_NOT_PRODUCTION_EXACT
