unit,stock_id,episode_start_date,confirmation_date,feature_as_of_date,max_source_date,promotion_reference_close,point_in_time_valid,future_feature_used,outcome_used_in_decision,audit_status
DAY0,2399,2026-06-23,2026-06-23,2026-06-23,2026-06-23,50.9,True,False,False,POINT_IN_TIME_VALID
DAY0,8438,2026-06-23,2026-06-23,2026-06-23,2026-06-23,101.0,True,False,False,POINT_IN_TIME_VALID
DAY0,1529,2026-06-23,2026-06-23,2026-06-23,2026-06-23,22.95,True,False,False,POINT_IN_TIME_VALID
DAY0,9940,2026-06-23,2026-06-23,2026-06-23,2026-06-23,19.25,True,False,False,POINT_IN_TIME_VALID
DAY0,8046,2026-06-23,2026-06-23,2026-06-23,2026-06-23,909.0,True,False,False,POINT_IN_TIME_VALID
DAY0,9930,2026-06-23,2026-06-23,2026-06-23,2026-06-23,70.1,True,False,False,POINT_IN_TIME_VALID
DAY0,1437,2026-06-23,2026-06-23,2026-06-23,2026-06-23,30.05,True,False,False,POINT_IN_TIME_VALID
DAY0,3712,2026-06-23,2026-06-23,2026-06-23,2026-06-23,17.95,True,False,False,POINT_IN_TIME_VALID
DAY0,1535,2026-06-23,2026-06-23,2026-06-23,2026-06-23,50.0,True,False,False,POINT_IN_TIME_VALID
DAY0,3588,2026-06-24,2026-06-24,2026-06-24,2026-06-24,75.9,True,False,False,POINT_IN_TIME_VALID
DAY0,1216,2026-06-24,2026-06-24,2026-06-24,2026-06-24,75.1,True,False,False,POINT_IN_TIME_VALID
DAY0,1310,2026-06-24,2026-06-24,2026-06-24,2026-06-24,9.93,True,False,False,POINT_IN_TIME_VALID
DAY0,1236,2026-06-24,2026-06-24,2026-06-24,2026-06-24,25.8,True,False,False,POINT_IN_TIME_VALID
DAY0,6909,2026-06-24,2026-06-24,2026-06-24,2026-06-24,60.4,True,False,False,POINT_IN_TIME_VALID
DAY0,4169,2026-06-24,2026-06-24,2026-06-24,2026-06-24,193.0,True,False,False,POINT_IN_TIME_VALID
DAY0,2539,2026-06-24,2026-06-24,2026-06-24,2026-06-24,39.1,True,False,False,POINT_IN_TIME_VALID
DAY0,1315,2026-06-24,2026-06-24,2026-06-24,2026-06-24,62.3,True,False,False,POINT_IN_TIME_VALID
DAY0,1475,2026-06-24,2026-06-24,2026-06-24,2026-06-24,27.0,True,False,False,POINT_IN_TIME_VALID
DAY0,1449,2026-06-24,2026-06-24,2026-06-24,2026-06-24,14.95,True,False,False,POINT_IN_TIME_VALID
DAY0,7799,2026-06-24,2026-06-24,2026-06-24,2026-06-24,413.0,True,False,False,POINT_IN_TIME_VALID
DAY0,4119,2026-06-24,2026-06-24,2026-06-24,2026-06-24,44.25,True,False,False,POINT_IN_TIME_VALID
DAY0,4164,2026-06-24,2026-06-24,2026-06-24,2026-06-24,30.55,True,False,False,POINT_IN_TIME_VALID
DAY0,2910,2026-06-24,2026-06-24,2026-06-24,2026-06-24,22.7,True,False,False,POINT_IN_TIME_VALID
DAY0,6505,2026-06-24,2026-06-24,2026-06-24,2026-06-24,55.2,True,False,False,POINT_IN_TIME_VALID
DAY0,9944,2026-06-24,2026-06-24,2026-06-24,2026-06-24,17.85,True,False,False,POINT_IN_TIME_VALID
DAY0,1234,2026-06-24,2026-06-24,2026-06-24,2026-06-24,35.15,True,False,False,POINT_IN_TIME_VALID
DAY0,Plastics,2026-06-24,2026-06-24,2026-06-24,2026-06-24,285.32,True,False,False,POINT_IN_TIME_VALID
