unit,feature,outcome,n,median,p25,p75,mean,effect_size_winner_vs_neutral,observed_winner_direction,dates_with_winner_neutral_comparison,direction_consistency_by_date,single_date_risk,discovery_p25,discovery_p75,winner_top_quartile_rate,winner_bottom_quartile_rate,neutral_top_quartile_rate,loser_top_quartile_rate
DAY0,rs_market_pct_day_minus_3,NEUTRAL,134,62.9274983335897,43.83720191963597,73.14012964783936,57.81854243836148,0.035984888334710745,LOWER,6,0.3333333333333333,False,43.46879535558781,73.77656184762785,0.3333333333333333,0.26666666666666666,0.22388059701492538,0.15789473684210525
DAY0,rs_market_pct_day_minus_3,LOSER,18,42.35605409799223,16.705841479151754,66.53296529589937,44.10040018057268,0.035984888334710745,LOWER,6,0.3333333333333333,False,43.46879535558781,73.77656184762785,0.3333333333333333,0.26666666666666666,0.22388059701492538,0.15789473684210525
DAY0,rs_market_pct_day_minus_5,WINNER,15,55.152394775036285,20.841341216513598,63.331920382953214,47.529813633346336,-0.25153299766467524,LOWER,6,0.3333333333333333,False,32.76018964353748,73.74397988989561,0.2,0.3333333333333333,0.2462686567164179,0.10526315789473684
DAY0,rs_market_pct_day_minus_5,NEUTRAL,134,58.95737055550316,35.26696489300476,73.48156182212581,53.647774667745104,-0.25153299766467524,LOWER,6,0.3333333333333333,False,32.76018964353748,73.74397988989561,0.2,0.3333333333333333,0.2462686567164179,0.10526315789473684
DAY0,rs_market_pct_day_minus_5,LOSER,18,31.342846034866515,11.211890402954863,51.13300115106473,32.86964330147596,-0.25153299766467524,LOWER,6,0.3333333333333333,False,32.76018964353748,73.74397988989561,0.2,0.3333333333333333,0.2462686567164179,0.10526315789473684
DAY0,rs_market_pct_day_minus_10,WINNER,15,48.40810419681621,22.254555706085497,70.58380009745721,47.56776944884023,-0.5033448163642186,LOWER,6,0.5,False,53.69629005732001,83.52685050798259,0.2,0.6,0.21641791044776118,0.05263157894736842
DAY0,rs_market_pct_day_minus_10,NEUTRAL,133,66.20938628158845,45.480838756326825,81.93033381712627,60.362083690071216,-0.5033448163642186,LOWER,6,0.5,False,53.69629005732001,83.52685050798259,0.2,0.6,0.21641791044776118,0.05263157894736842
DAY0,rs_market_pct_day_minus_10,LOSER,18,27.347361549981162,7.885333836703555,51.70822676896846,32.15235907166328,-0.5033448163642186,LOWER,6,0.5,False,53.69629005732001,83.52685050798259,0.2,0.6,0.21641791044776118,0.05263157894736842
DAY0,rs_slope_3d,WINNER,15,8.130404729536423,0.2645676668831527,10.700750740479872,7.024739513176775,0.06527147815735736,HIGHER,6,0.5,False,1.4224471881414176,10.825482200943206,0.2,0.4,0.22388059701492538,0.42105263157894735
DAY0,rs_slope_3d,NEUTRAL,134,4.825003578070968,1.6598487076758381,10.152529707522472,6.5790685813097385,0.06527147815735736,HIGHER,6,0.5,False,1.4224471881414176,10.825482200943206,0.2,0.4,0.22388059701492538,0.42105263157894735
DAY0,rs_slope_3d,LOSER,18,8.952724818437623,4.150588052296134,21.588651847110242,11.727023483582936,0.06527147815735736,HIGHER,6,0.5,False,1.4224471881414176,10.825482200943206,0.2,0.4,0.22388059701492538,0.42105263157894735
