trade_date,stock_id,stock_name,actual_position_return,highest_position_return,drawdown_from_peak,momentum_score,previous_momentum_score,momentum_change,tracking_return,tracking_return_change,p3_selected_today,p4_decision,hold_score,winner_state,action
2026-09-01,2465,麗臺,-1.8442622950819665,0.0,-1.8442622950819665,76.5,,,0.0,,False,CAUTION,5.0,NONE,HOLD
2026-09-01,3376,新日興,-2.73972602739726,0.0,-2.73972602739726,65.3,,,0.0,,False,CAUTION,4.0,NONE,HOLD
2026-09-02,6933,AMAX-KY,27.3076923076923,27.3076923076923,0.0,93.6,94.0,-0.4000000000000057,27.307692307692307,6.346153846153843,False,CONTINUE,11.0,WINNER_STRONG,HOLD
2026-09-02,3017,奇鋐,-3.3576642335766405,0.0,-3.3576642335766405,73.3,77.8,-4.5,-1.267710663683818,-2.982848620432513,False,CAUTION,3.0,NONE,HOLD
2026-09-02,1710,東聯,-0.30487804878046587,0.0,-0.30487804878046587,74.4,,,0.0,,False,CAUTION,4.0,NONE,HOLD
2026-09-02,3605,宏致,-5.223880597014929,0.0,-5.223880597014929,71.3,,,0.0,,False,CAUTION,2.0,NONE,HOLD
2026-09-03,6933,AMAX-KY,16.153846153846164,27.3076923076923,-8.761329305135956,85.3,93.6,-8.299999999999997,16.153846153846153,-11.153846153846153,False,CONTINUE,4.0,WINNER_WEAKENING,HOLD
2026-09-03,2467,志聖,-4.340836012861738,0.0,-4.340836012861738,74.5,,,0.0,,False,CONTINUE,4.0,NONE,HOLD
2026-09-04,6933,AMAX-KY,21.923076923076934,27.3076923076923,-4.229607250755285,85.0,85.3,-0.29999999999999716,21.923076923076923,5.76923076923077,False,CONTINUE,9.0,WINNER_STRONG,HOLD
2026-09-04,2467,志聖,-3.0546623794212246,0.0,-3.0546623794212246,67.2,74.5,-7.299999999999997,-0.903861955628595,-0.903861955628595,False,CAUTION,2.0,NONE,HOLD
2026-09-04,6442,光聖,-6.399999999999995,0.0,-6.399999999999995,82.8,,,0.0,,False,CAUTION,3.0,NONE,HOLD
2026-09-04,2890,永豐金,-0.5800464037122977,0.0,-0.5800464037122977,75.6,,,0.0,,False,CAUTION,5.0,NONE,HOLD
