stock_id,stock_name,episode_start_date,cohort_source,dataset,production_market_regime,market_path_state,branch_r_eligible,branch_exclusion_state,momentum_rank,down_survival_ratio,down_survival_ratio_top120_percentile,entry_close,maturity_status,branch_maturity_status,episode_outcome,decision_date,feature_as_of_date,max_source_date,point_in_time_valid
4736,泰博,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,112.0,1.0,91.25,127.0,PENDING_DAY10,PENDING_DAY10,,2026-07-14,2026-07-14,2026-07-14,True
5306,桂盟,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,66.0,0.8,70.41666666666667,89.3,PENDING_DAY10,PENDING_DAY10,,2026-07-14,2026-07-14,2026-07-14,True
5525,順天,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,114.0,0.8,70.41666666666667,22.05,PENDING_DAY10,PENDING_DAY10,,2026-07-14,2026-07-14,2026-07-14,True
5538,東明-KY,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,90.0,0.8,70.41666666666667,33.45,PENDING_DAY10,PENDING_DAY10,,2026-07-14,2026-07-14,2026-07-14,True
6534,正瀚-創,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,100.0,1.0,91.25,93.5,PENDING_DAY10,PENDING_DAY10,,2026-07-14,2026-07-14,2026-07-14,True
8411,福貞-KY,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,77.0,1.0,91.25,12.65,PENDING_DAY10,PENDING_DAY10,,2026-07-14,2026-07-14,2026-07-14,True
8462,柏文,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,1.0,1.0,91.25,167.0,PENDING_DAY10,PENDING_DAY10,,2026-07-14,2026-07-14,2026-07-14,True
8481,政伸,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,106.0,1.0,91.25,42.4,PENDING_DAY10,PENDING_DAY10,,2026-07-14,2026-07-14,2026-07-14,True
910322,康師傅-DR,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,98.0,0.8,70.41666666666667,22.95,PENDING_DAY10,PENDING_DAY10,,2026-07-14,2026-07-14,2026-07-14,True
2015,豐興,2026-07-15,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,True,ELIGIBLE_WEAK_MARKET,119.0,0.8,69.16666666666667,64.0,PENDING_DAY10,PENDING_DAY10,,2026-07-15,2026-07-15,2026-07-15,True
