branch,cohort_source,stock_id,stock_name,episode_start_date,selection_state,available_forward_sessions,expected_maturity_date,pending_not_neutral
R,EXISTING_PENDING,9927,泰銘,2026-07-15,RISK_CONTROL_PRIMARY_SHADOW,8,,True
R,EXISTING_PENDING,00715L,期街口布蘭特正2,2026-07-16,FILTERED_PENDING_OUTCOME,7,,True
R,EXISTING_PENDING,00916,國泰全球品牌50,2026-07-16,RISK_CONTROL_PRIMARY_SHADOW,7,,True
R,EXISTING_PENDING,1101,台泥,2026-07-16,FILTERED_PENDING_OUTCOME,7,,True
R,EXISTING_PENDING,1103,嘉泥,2026-07-16,RISK_CONTROL_PRIMARY_SHADOW,7,,True
R,EXISTING_PENDING,1110,東泥,2026-07-16,FILTERED_PENDING_OUTCOME,7,,True
R,EXISTING_PENDING,1436,華友聯,2026-07-16,RISK_CONTROL_PRIMARY_SHADOW,7,,True
R,EXISTING_PENDING,1439,雋揚,2026-07-16,FILTERED_PENDING_OUTCOME,7,,True
R,EXISTING_PENDING,1442,名軒,2026-07-16,RISK_CONTROL_PRIMARY_SHADOW,7,,True
R,EXISTING_PENDING,1732,毛寶,2026-07-16,FILTERED_PENDING_OUTCOME,7,,True
R,EXISTING_PENDING,2459,敦吉,2026-07-16,RISK_CONTROL_PRIMARY_SHADOW,7,,True
R,EXISTING_PENDING,2524,京城,2026-07-16,FILTERED_PENDING_OUTCOME,7,,True
R,EXISTING_PENDING,3266,昇陽,2026-07-16,FILTERED_PENDING_OUTCOME,7,,True
R,EXISTING_PENDING,6789,采鈺,2026-07-16,FILTERED_PENDING_OUTCOME,7,,True
R,EXISTING_PENDING,8404,百和興業-KY,2026-07-16,FILTERED_PENDING_OUTCOME,7,,True
R,EXISTING_PENDING,OilGasElectricity,油電燃氣類指數,2026-07-16,FILTERED_PENDING_OUTCOME,7,,True
R,EXISTING_PENDING,00632R,元大台灣50反1,2026-07-17,FILTERED_PENDING_OUTCOME,6,,True
R,EXISTING_PENDING,00642U,期元大S&P石油,2026-07-17,FILTERED_PENDING_OUTCOME,6,,True
R,EXISTING_PENDING,00664R,國泰臺灣加權反1,2026-07-17,FILTERED_PENDING_OUTCOME,6,,True
R,EXISTING_PENDING,00676R,富邦臺灣加權反1,2026-07-17,FILTERED_PENDING_OUTCOME,6,,True
R,EXISTING_PENDING,1201,味全,2026-07-17,FILTERED_PENDING_OUTCOME,6,,True
R,EXISTING_PENDING,1231,聯華食,2026-07-17,FILTERED_PENDING_OUTCOME,6,,True
R,EXISTING_PENDING,1323,永裕,2026-07-17,FILTERED_PENDING_OUTCOME,6,,True
R,EXISTING_PENDING,2008,高興昌,2026-07-17,FILTERED_PENDING_OUTCOME,6,,True
R,EXISTING_PENDING,2024,志聯,2026-07-17,FILTERED_PENDING_OUTCOME,6,,True
R,EXISTING_PENDING,2105,正新,2026-07-17,FILTERED_PENDING_OUTCOME,6,,True
R,EXISTING_PENDING,2115,六暉-KY,2026-07-17,FILTERED_PENDING_OUTCOME,6,,True
R,EXISTING_PENDING,2608,嘉里大榮,2026-07-17,FILTERED_PENDING_OUTCOME,6,,True
R,EXISTING_PENDING,2929,淘帝-KY,2026-07-17,FILTERED_PENDING_OUTCOME,6,,True
R,EXISTING_PENDING,3024,憶聲,2026-07-17,FILTERED_PENDING_OUTCOME,6,,True
R,EXISTING_PENDING,4582,聚恆-創,2026-07-17,FILTERED_PENDING_OUTCOME,6,,True
R,EXISTING_PENDING,6937,天虹,2026-07-17,FILTERED_PENDING_OUTCOME,6,,True
R,EXISTING_PENDING,00665L,富邦恒生國企正2,2026-07-20,FILTERED_PENDING_OUTCOME,5,,True
R,EXISTING_PENDING,00686R,群益臺灣加權反1,2026-07-20,FILTERED_PENDING_OUTCOME,5,,True
R,EXISTING_PENDING,1220,台榮,2026-07-20,FILTERED_PENDING_OUTCOME,5,,True
R,EXISTING_PENDING,1233,天仁,2026-07-20,FILTERED_PENDING_OUTCOME,5,,True
R,EXISTING_PENDING,1235,興泰,2026-07-20,FILTERED_PENDING_OUTCOME,5,,True
R,EXISTING_PENDING,1614,三洋電,2026-07-20,FILTERED_PENDING_OUTCOME,5,,True
R,EXISTING_PENDING,2762,世界健身-KY,2026-07-20,FILTERED_PENDING_OUTCOME,5,,True
R,EXISTING_PENDING,3679,新至陞,2026-07-20,FILTERED_PENDING_OUTCOME,5,,True
R,EXISTING_PENDING,4770,上品,2026-07-20,FILTERED_PENDING_OUTCOME,5,,True
R,EXISTING_PENDING,6281,全國電,2026-07-20,FILTERED_PENDING_OUTCOME,5,,True
R,EXISTING_PENDING,6969,成信實業*-創,2026-07-20,FILTERED_PENDING_OUTCOME,5,,True
R,EXISTING_PENDING,7740,熙特爾-創,2026-07-20,FILTERED_PENDING_OUTCOME,5,,True
R,EXISTING_PENDING,8367,建新國際,2026-07-20,FILTERED_PENDING_OUTCOME,5,,True
R,EXISTING_PENDING,9939,宏全,2026-07-20,FILTERED_PENDING_OUTCOME,5,,True
R,EXISTING_PENDING,00753L,中信中國50正2,2026-07-21,FILTERED_PENDING_OUTCOME,4,,True
R,EXISTING_PENDING,2029,盛餘,2026-07-21,FILTERED_PENDING_OUTCOME,4,,True
R,EXISTING_PENDING,2347,聯強,2026-07-21,FILTERED_PENDING_OUTCOME,4,,True
R,EXISTING_PENDING,8045,達運光電,2026-07-21,FILTERED_PENDING_OUTCOME,4,,True
R,EXISTING_PENDING,9103,美德醫療-DR,2026-07-21,FILTERED_PENDING_OUTCOME,4,,True
R,EXISTING_PENDING,9924,福興,2026-07-21,FILTERED_PENDING_OUTCOME,4,,True
R,EXISTING_PENDING,00636,國泰中國A50,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,00669R,國泰美國道瓊反1,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,00693U,期街口S&P黃豆,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,00700,富邦恒生國企,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,00702,國泰標普低波高息,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,00709,富邦歐洲,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,00710B,復華彭博非投等債,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,00752,中信中國50,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,00763U,期街口道瓊銅,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,00917,中信特選金融,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,00924,復華S&P500成長,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,00926,凱基全球菁英55,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,00945B,凱基美國非投等債,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,00953B,群益優選非投等債,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,00956,中信日經高股息,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,00960,野村全球航運龍頭,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,00961,FT臺灣永續高息,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,00972,野村日本動能高息,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,009810,玉山全球藍籌100,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,009811,統一美國50,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,009813,貝萊德標普卓越50,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,009817,國泰日本不動產,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,1463,強盛新,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,3665,貿聯-KY,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,3669,圓展,2026-07-22,FILTERED_PENDING_OUTCOME,3,,True
R,EXISTING_PENDING,00640L,富邦日本正2,2026-07-23,FILTERED_PENDING_OUTCOME,2,,True
R,EXISTING_PENDING,00650L,復華香港正2,2026-07-23,FILTERED_PENDING_OUTCOME,2,,True
R,EXISTING_PENDING,00882,中信中國高股息,2026-07-23,FILTERED_PENDING_OUTCOME,2,,True
R,EXISTING_PENDING,1325,恆大,2026-07-23,RISK_CONTROL_PRIMARY_SHADOW,2,,True
R,EXISTING_PENDING,1418,東華,2026-07-23,FILTERED_PENDING_OUTCOME,2,,True
R,EXISTING_PENDING,6504,南六,2026-07-23,FILTERED_PENDING_OUTCOME,2,,True
R,EXISTING_PENDING,8271,宇瞻,2026-07-23,FILTERED_PENDING_OUTCOME,2,,True
R,EXISTING_PENDING,00681R,元大美債20反1,2026-07-24,FILTERED_PENDING_OUTCOME,1,,True
R,EXISTING_PENDING,2002,中鋼,2026-07-24,FILTERED_PENDING_OUTCOME,1,,True
R,EXISTING_PENDING,2385,群光,2026-07-24,RISK_CONTROL_PRIMARY_SHADOW,1,,True
R,EXISTING_PENDING,2605,新興,2026-07-24,FILTERED_PENDING_OUTCOME,1,,True
R,EXISTING_PENDING,2609,陽明,2026-07-24,FILTERED_PENDING_OUTCOME,1,,True
R,EXISTING_PENDING,2616,山隆,2026-07-24,RISK_CONTROL_PRIMARY_SHADOW,1,,True
R,EXISTING_PENDING,2701,萬企,2026-07-24,RISK_CONTROL_PRIMARY_SHADOW,1,,True
R,EXISTING_PENDING,2712,遠雄來,2026-07-24,FILTERED_PENDING_OUTCOME,1,,True
R,EXISTING_PENDING,7765,中華資安,2026-07-24,RISK_CONTROL_PRIMARY_SHADOW,1,,True
R,EXISTING_PENDING,9919,康那香,2026-07-24,FILTERED_PENDING_OUTCOME,1,,True
