stock_id,stock_name,episode_start_date,cohort_source,dataset,production_market_regime,market_path_state,momentum_rank,entry_close,episode_outcome,maturity_status,available_forward_sessions,branch_n_eligible,outcome_maturity_status,day0_state,decision_date,feature_as_of_date,max_source_date,point_in_time_valid,input_status,confirmation_date,day1_c_pass,state,promotion_reference_close,predicate_trace,missing_required_feature
2207,和泰車,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,93.0,480.0,,EXCLUDED_NON_NORMAL,9,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-14,2026-07-14,2026-07-14,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
2704,國賓,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,53.0,45.55,,EXCLUDED_NON_NORMAL,9,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-14,2026-07-14,2026-07-14,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
3702,大聯大,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,105.0,119.5,,EXCLUDED_NON_NORMAL,9,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-14,2026-07-14,2026-07-14,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
4104,佳醫,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,111.0,71.3,,EXCLUDED_NON_NORMAL,9,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-14,2026-07-14,2026-07-14,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
4106,雃博,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,52.0,24.85,,EXCLUDED_NON_NORMAL,9,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-14,2026-07-14,2026-07-14,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
4736,泰博,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,112.0,127.0,,EXCLUDED_NON_NORMAL,9,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-14,2026-07-14,2026-07-14,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
5306,桂盟,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,66.0,89.3,,EXCLUDED_NON_NORMAL,9,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-14,2026-07-14,2026-07-14,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
5525,順天,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,114.0,22.05,,EXCLUDED_NON_NORMAL,9,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-14,2026-07-14,2026-07-14,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
5538,東明-KY,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,90.0,33.45,,EXCLUDED_NON_NORMAL,9,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-14,2026-07-14,2026-07-14,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
6534,正瀚-創,2026-07-14,EXISTING_PENDING,C,RISK_OFF,RISK_OFF,100.0,93.5,,EXCLUDED_NON_NORMAL,9,False,PENDING_DAY10,EXCLUDED_NON_NORMAL,2026-07-14,2026-07-14,2026-07-14,True,RECONSTRUCTED_NOT_PRODUCTION_EXACT,,,EXCLUDED_NON_NORMAL,,"[""market_path_state != NORMAL""]",False
