branch_unit,cohort_source,stock_id,episode_start_date,decision_date,feature_as_of_date,max_source_date,branch_eligible,decision_state,point_in_time_valid,future_feature_in_decision,outcome_in_decision,day3_rescue_used,config_hash
N_DAY0,EXISTING_PENDING,2929,2026-07-17,2026-07-17,2026-07-17,2026-07-17,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,3024,2026-07-17,2026-07-17,2026-07-17,2026-07-17,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,4582,2026-07-17,2026-07-17,2026-07-17,2026-07-17,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,6937,2026-07-17,2026-07-17,2026-07-17,2026-07-17,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00665L,2026-07-20,2026-07-20,2026-07-20,2026-07-20,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00686R,2026-07-20,2026-07-20,2026-07-20,2026-07-20,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,1220,2026-07-20,2026-07-20,2026-07-20,2026-07-20,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,1233,2026-07-20,2026-07-20,2026-07-20,2026-07-20,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,1235,2026-07-20,2026-07-20,2026-07-20,2026-07-20,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,1614,2026-07-20,2026-07-20,2026-07-20,2026-07-20,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,2762,2026-07-20,2026-07-20,2026-07-20,2026-07-20,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,3679,2026-07-20,2026-07-20,2026-07-20,2026-07-20,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,4770,2026-07-20,2026-07-20,2026-07-20,2026-07-20,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,6281,2026-07-20,2026-07-20,2026-07-20,2026-07-20,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,6969,2026-07-20,2026-07-20,2026-07-20,2026-07-20,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,7740,2026-07-20,2026-07-20,2026-07-20,2026-07-20,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,8367,2026-07-20,2026-07-20,2026-07-20,2026-07-20,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,9939,2026-07-20,2026-07-20,2026-07-20,2026-07-20,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,00753L,2026-07-21,2026-07-21,2026-07-21,2026-07-21,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,2029,2026-07-21,2026-07-21,2026-07-21,2026-07-21,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,2347,2026-07-21,2026-07-21,2026-07-21,2026-07-21,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,8045,2026-07-21,2026-07-21,2026-07-21,2026-07-21,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
N_DAY0,EXISTING_PENDING,9103,2026-07-21,2026-07-21,2026-07-21,2026-07-21,False,EXCLUDED_NON_NORMAL,True,False,False,False,a1b9b6306a17bb9b089c2695ac7dbdef29e6455d76827ec96614000f578d98a0
