stock_id,stock_name,asset_type,asset_class,region,strategy,themes,tracking_index,is_leveraged,is_inverse,is_active,confidence
009808,華南永昌優選50,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
009809,富邦淨零ESG50,ETF,EQUITY,TAIWAN,ESG,,,False,False,False,MEDIUM
00980A,主動野村臺灣優選,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
009810,玉山全球藍籌100,ETF,EQUITY,GLOBAL,MARKET_CAP,,,False,False,False,MEDIUM
009811,統一美國50,ETF,EQUITY,US,MARKET_CAP,,,False,False,False,MEDIUM
009812,野村日本東證,ETF,EQUITY,JAPAN,MARKET_CAP,,,False,False,False,MEDIUM
009813,貝萊德標普卓越50,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
009816,凱基台灣TOP50,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
009817,國泰日本不動產,ETF,EQUITY,JAPAN,MARKET_CAP,不動產,,False,False,False,MEDIUM
009818,華南永昌NASDAQxT,ETF,EQUITY,US,MARKET_CAP,,,False,False,False,MEDIUM
00981A,主動統一台股增長,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
00981T,平衡凱基雙核收息,ETF,MULTI_ASSET,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
00982A,主動群益台灣強棒,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
00982D,主動富邦動態入息,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
00982T,平衡兆豐台美動能,ETF,MULTI_ASSET,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
00983A,主動中信ARK創新,ETF,EQUITY,US,ACTIVE,,,False,False,True,MEDIUM
00983D,主動富邦複合收益,ETF,MULTI_ASSET,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
00984A,主動安聯台灣高息,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
00984D,主動聯博全球非投,ETF,EQUITY,GLOBAL,ACTIVE,,,False,False,True,MEDIUM
00985A,主動野村台灣50,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
00985B,群益ESG投等債0-5,ETF,BOND,TAIWAN,ESG,,,False,False,False,MEDIUM
00986A,主動台新龍頭成長,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
00987A,主動台新優勢成長,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
00988A,主動統一全球創新,ETF,EQUITY,GLOBAL,ACTIVE,,,False,False,True,MEDIUM
00989A,主動摩根美國科技,ETF,EQUITY,US,ACTIVE,,,False,False,True,MEDIUM
00990A,主動元大AI新經濟,ETF,EQUITY,TAIWAN,ACTIVE,AI,,False,False,True,MEDIUM
00991A,主動復華未來50,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
00992A,主動群益科技創新,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
00993A,主動安聯台灣,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
00994A,主動第一金台股優,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
00995A,主動中信台灣卓越,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
00996A,主動兆豐台灣豐收,ETF,EQUITY,TAIWAN,ACTIVE,,,False,False,True,MEDIUM
020000,富邦特選蘋果N,ETN,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
020011,統一微波高息20N,ETN,EQUITY,TAIWAN,HIGH_DIVIDEND,,,False,False,False,MEDIUM
020012,富邦行動通訊N,ETN,EQUITY,TAIWAN,THEMATIC,,,False,False,False,MEDIUM
020015,統一MSCI美低波N,ETN,EQUITY,TAIWAN,LOW_VOLATILITY,,,False,False,False,MEDIUM
020016,統一MSCI美科技N,ETN,EQUITY,TAIWAN,THEMATIC,,,False,False,False,MEDIUM
020018,統一價值成長30N,ETN,EQUITY,TAIWAN,GROWTH,,,False,False,False,MEDIUM
020019,統一特選台灣5GN,ETN,EQUITY,TAIWAN,THEMATIC,5G,,False,False,False,MEDIUM
02001L,富邦蘋果正二N,ETN,EQUITY,TAIWAN,LEVERAGED,,,True,False,False,MEDIUM
02001R,富邦蘋果反一N,ETN,EQUITY,TAIWAN,INVERSE,,,False,True,False,MEDIUM
02001S,策元大加權策略N,ETN,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
020020,元大台股領航N,ETN,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
020028,元大特選電動車N,ETN,EQUITY,TAIWAN,THEMATIC,電動車,,False,False,False,MEDIUM
020029,元大ESG高股息N,ETN,EQUITY,TAIWAN,HIGH_DIVIDEND,,,False,False,False,MEDIUM
00729R,第一金工業30反1,ETF,EQUITY,TAIWAN,INVERSE,,,False,True,False,MEDIUM
00732,國泰RMB短期報酬,ETF,CURRENCY,CHINA,MARKET_CAP,,,False,False,False,MEDIUM
00742,新光內需收益,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
00743,國泰中國A150,ETF,EQUITY,CHINA,MARKET_CAP,,,False,False,False,MEDIUM
00766L,台新MSCI中國正2,ETF,EQUITY,CHINA,LEVERAGED,,,True,False,False,MEDIUM
00767,FH美國金融股,ETF,EQUITY,US,MARKET_CAP,金融,,False,False,False,MEDIUM
00774B,新光中國政金綠債,ETF,BOND,CHINA,MARKET_CAP,,,False,False,False,MEDIUM
00774C,新光中政金綠債+R,ETF,BOND,CHINA,MARKET_CAP,,,False,False,False,MEDIUM
00776,新光ICE美國權值,ETF,EQUITY,US,MARKET_CAP,,,False,False,False,MEDIUM
00866,新光Shiller CAPE,ETF,EQUITY,JAPAN,MARKET_CAP,,,False,False,False,MEDIUM
00906,大華元宇宙科技50,ETF,EQUITY,TAIWAN,THEMATIC,元宇宙,,False,False,False,MEDIUM
020002,元富新中國N,ETN,EQUITY,CHINA,MARKET_CAP,,,False,False,False,MEDIUM
020004,兆豐電菁英30N,ETN,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
020005,永豐外資50N,ETN,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
020006,永昌中小300N,ETN,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
020007,凱基臺灣500N,ETN,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
020008,元大特股高息N,ETN,EQUITY,TAIWAN,HIGH_DIVIDEND,,,False,False,False,MEDIUM
020022,元大電動車N,ETN,EQUITY,TAIWAN,THEMATIC,電動車,,False,False,False,MEDIUM
0054,元大台商50,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
0058,富邦發達,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
0059,富邦金融,ETF,EQUITY,TAIWAN,MARKET_CAP,金融,,False,False,False,MEDIUM
0060,新台灣,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
00649,FH香港,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
00658L,國泰日本正2,ETF,EQUITY,JAPAN,LEVERAGED,,,True,False,False,MEDIUM
00659R,國泰日本反1,ETF,EQUITY,JAPAN,INVERSE,,,False,True,False,MEDIUM
00667,元大韓國,ETF,EQUITY,KOREA,MARKET_CAP,,,False,False,False,MEDIUM
00672L,元大S&P原油正2,ETF,COMMODITY,US,LEVERAGED,,,True,False,False,MEDIUM
00677U,期富邦VIX,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
00691R,兆豐藍籌30反1,ETF,EQUITY,TAIWAN,INVERSE,,,False,True,False,MEDIUM
00698L,元大美債7-10正2,ETF,BOND,US,LEVERAGED,,,True,False,False,MEDIUM
0050,元大台灣50,ETF,EQUITY,TAIWAN,MARKET_CAP,,臺灣50指數,False,False,False,HIGH
00763U,期街口道瓊銅,ETF,COMMODITY,US,MARKET_CAP,,,False,False,False,MEDIUM
00752,中信中國50,ETF,EQUITY,CHINA,MARKET_CAP,,,False,False,False,MEDIUM
00753L,中信中國50正2,ETF,EQUITY,CHINA,LEVERAGED,,,True,False,False,MEDIUM
00757,統一FANG+,ETF,EQUITY,US,MARKET_CAP,,,False,False,False,MEDIUM
00762,元大全球AI,ETF,EQUITY,GLOBAL,THEMATIC,AI,,False,False,False,MEDIUM
00783,富邦中証500,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
00830,國泰費城半導體,ETF,EQUITY,US,SECTOR,半導體,NYSE Philadelphia Semiconductor Index,False,False,False,HIGH
00850,元大臺灣ESG永續,ETF,EQUITY,TAIWAN,ESG,,臺灣永續指數,False,False,False,HIGH
00851,台新全球AI,ETF,EQUITY,GLOBAL,THEMATIC,AI,,False,False,False,MEDIUM
00689R,國泰20年美債反1,ETF,BOND,US,INVERSE,,,False,True,False,MEDIUM
00690,兆豐藍籌30,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
00692,富邦公司治理,ETF,EQUITY,TAIWAN,ESG,,台灣公司治理100指數,False,False,False,HIGH
00693U,期街口S&P黃豆,ETF,COMMODITY,US,MARKET_CAP,,,False,False,False,MEDIUM
00700,富邦恒生國企,ETF,EQUITY,CHINA,MARKET_CAP,,,False,False,False,MEDIUM
00701,國泰股利精選30,ETF,EQUITY,TAIWAN,HIGH_DIVIDEND,,,False,False,False,MEDIUM
00702,國泰標普低波高息,ETF,EQUITY,TAIWAN,HIGH_DIVIDEND,,,False,False,False,MEDIUM
00706L,期元大S&P日圓正2,ETF,EQUITY,US,LEVERAGED,,,True,False,False,MEDIUM
00924,復華S&P500成長,ETF,EQUITY,US,GROWTH,,,False,False,False,MEDIUM
00927,群益半導體收益,ETF,EQUITY,TAIWAN,THEMATIC,半導體,,False,False,False,MEDIUM
00960,野村全球航運龍頭,ETF,EQUITY,GLOBAL,MARKET_CAP,,,False,False,False,MEDIUM
00961,FT臺灣永續高息,ETF,EQUITY,TAIWAN,HIGH_DIVIDEND,,,False,False,False,MEDIUM
00962,台新AI優息動能,ETF,EQUITY,TAIWAN,HIGH_DIVIDEND,AI,,False,False,False,MEDIUM
00963,中信全球高股息,ETF,EQUITY,GLOBAL,HIGH_DIVIDEND,,,False,False,False,MEDIUM
020030,統一智慧電動車N,ETN,EQUITY,TAIWAN,THEMATIC,電動車,,False,False,False,MEDIUM
020031,統一IC設計臺灣N,ETN,EQUITY,TAIWAN,THEMATIC,IC設計,,False,False,False,MEDIUM
020032,元大綠能N,ETN,EQUITY,TAIWAN,THEMATIC,綠能,,False,False,False,MEDIUM
020034,元大IC設計N,ETN,EQUITY,TAIWAN,THEMATIC,IC設計,,False,False,False,MEDIUM
020036,元大金融配息N,ETN,EQUITY,TAIWAN,MARKET_CAP,金融,,False,False,False,MEDIUM
020037,元大金融高股息N,ETN,EQUITY,TAIWAN,HIGH_DIVIDEND,金融,,False,False,False,MEDIUM
020038,元大ESG配息N,ETN,EQUITY,TAIWAN,ESG,,,False,False,False,MEDIUM
020039,元大加權N,ETN,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
00926,凱基全球菁英55,ETF,EQUITY,GLOBAL,MARKET_CAP,,,False,False,False,MEDIUM
00929,復華台灣科技優息,ETF,EQUITY,TAIWAN,HIGH_DIVIDEND,科技,臺灣指數公司特選臺灣上市上櫃科技優息指數,False,False,False,HIGH
00930,永豐ESG低碳高息,ETF,EQUITY,TAIWAN,HIGH_DIVIDEND,,,False,False,False,MEDIUM
00932,兆豐永續高息等權,ETF,EQUITY,TAIWAN,HIGH_DIVIDEND,,,False,False,False,MEDIUM
00934,中信成長高股息,ETF,EQUITY,TAIWAN,HIGH_DIVIDEND,,臺灣指數公司中信成長高股息精選30指數,False,False,False,HIGH
00935,野村臺灣新科技50,ETF,EQUITY,TAIWAN,THEMATIC,,,False,False,False,MEDIUM
00936,台新永續高息中小,ETF,EQUITY,TAIWAN,HIGH_DIVIDEND,,,False,False,False,MEDIUM
00938,凱基優選30,ETF,EQUITY,TAIWAN,MARKET_CAP,,,False,False,False,MEDIUM
00939,統一台灣高息動能,ETF,EQUITY,TAIWAN,HIGH_DIVIDEND,,,False,False,False,MEDIUM
00940,元大台灣價值高息,ETF,EQUITY,TAIWAN,HIGH_DIVIDEND,,,False,False,False,MEDIUM
00941,中信上游半導體,ETF,EQUITY,TAIWAN,THEMATIC,半導體,,False,False,False,MEDIUM
00943,兆豐電子高息等權,ETF,EQUITY,TAIWAN,HIGH_DIVIDEND,,,False,False,False,MEDIUM
00997A,主動群益美國增長,ETF,EQUITY,US,ACTIVE,,,False,False,True,MEDIUM
