evaluation_date,top120_first_seen_count,top120_rank_improving_count,top120_market_outperform_count,top120_positive_return_count,top120_institution_buy_count,eligible_pocket_count,confirmed_pocket_count,phase2_selected_count,phase2_count_source,recent_phase2_day1_positive_rate,recent_phase2_day3_positive_rate,opportunity_density_continuous,rank_improving_rate,market_outperform_rate,positive_return_rate,institution_buy_rate,active_pocket_rate,opportunity_density,density_p25_dataset_a,density_p50_dataset_a,density_p75_dataset_a
2026-06-11,20,46,77,72,83,26,1,18,PRODUCTION_FINAL_WATCH,0.56,0.42,0.5871428571428571,0.38333333333333336,0.6416666666666667,0.6,0.6916666666666667,0.6190476190476191,LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-06-12,8,33,65,100,102,25,1,29,PRODUCTION_FINAL_WATCH,0.46,0.54,0.6190476190476191,0.275,0.5416666666666666,0.8333333333333334,0.85,0.5952380952380952,MEDIUM,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-06-15,50,26,81,109,100,22,1,15,PRODUCTION_FINAL_WATCH,0.54,0.6,0.6314285714285715,0.21666666666666667,0.675,0.9083333333333333,0.8333333333333334,0.5238095238095238,MEDIUM,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-06-16,21,18,54,93,104,23,1,15,PRODUCTION_FINAL_WATCH,0.44,0.48,0.5578571428571429,0.15,0.45,0.775,0.8666666666666667,0.5476190476190477,VERY_LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-06-17,20,48,96,96,89,19,1,6,PRODUCTION_FINAL_WATCH,0.5,0.48,0.6388095238095238,0.4,0.8,0.8,0.7416666666666667,0.4523809523809524,HIGH,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-06-18,9,70,87,112,92,18,4,17,PRODUCTION_FINAL_WATCH,0.52,0.6,0.6873809523809523,0.5833333333333334,0.725,0.9333333333333333,0.7666666666666667,0.42857142857142855,HIGH,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-06-22,5,70,71,100,98,23,4,50,PHASE2_SHADOW_SURVIVORS,0.6,0.76,0.6745238095238095,0.5833333333333334,0.5916666666666667,0.8333333333333334,0.8166666666666667,0.5476190476190477,HIGH,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-06-23,20,31,62,34,89,27,0,43,PHASE2_SHADOW_SURVIVORS,0.38,0.7,0.4885714285714286,0.25833333333333336,0.5166666666666667,0.2833333333333333,0.7416666666666667,0.6428571428571429,VERY_LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-06-24,19,50,104,66,82,23,0,37,PHASE2_SHADOW_SURVIVORS,0.3,0.68,0.6128571428571428,0.4166666666666667,0.8666666666666667,0.55,0.6833333333333333,0.5476190476190477,LOW,0.5771428571428572,0.6159523809523809,0.6369642857142858
2026-06-25,14,62,73,80,93,27,1,55,PHASE2_SHADOW_SURVIVORS,0.48,0.34,0.6419047619047619,0.5166666666666667,0.6083333333333333,0.6666666666666666,0.775,0.6428571428571429,HIGH,0.5771428571428572,0.6159523809523809,0.6369642857142858
