evaluation_date,advancing_count,declining_count,unchanged_count,advance_decline_ratio,stocks_above_ma5_pct,stocks_above_ma10_pct,stocks_above_ma20_pct,new_20d_high_count,new_20d_low_count,new_high_low_ratio,limit_up_count,limit_down_count,median_stock_return_1d,median_stock_return_5d,volume_expanding_count,advance_decline_ratio_3d,advance_decline_ratio_5d,breadth_change_3d,breadth_change_5d,index_stock_divergence
2026-06-11,539,712,98,0.7570224719101124,27.15654952076677,26.389776357827476,39.233226837060705,119,171,0.695906432748538,18,6,-0.1984126984126977,-3.6363636363636376,256,1.3967692686076874,0.9585671565112893,-3.258785942492011,-26.389776357827465,-1.8980947157426264
2026-06-12,1041,235,72,4.4297872340425535,56.23003194888179,35.84664536741214,50.22364217252397,157,37,4.243243243243243,45,5,1.1612043529299787,-1.4492753623188415,240,1.839815229738755,1.7444065395653727,-1.6613418530351325,-12.3961661341853,-0.5517922879231973
2026-06-15,943,328,75,2.875,65.87859424920129,48.498402555910545,56.42172523961661,231,34,6.794117647058823,57,8,0.8867213913918648,2.0408163265306145,279,2.6872699019842226,2.299019007973123,15.015974440894567,13.929712460063897,2.3134111504260257
2026-06-16,480,781,88,0.614596670934699,55.39936102236421,44.60063897763578,50.798722044728436,150,63,2.380952380952381,26,5,-0.3389830508474634,0.4545454545454408,211,2.639794634992418,1.8018084720301928,11.56549520766773,-1.0862619808306633,2.0166855909614423
2026-06-17,778,431,144,1.8051044083526682,58.27476038338658,50.095846645367416,52.204472843450475,203,61,3.3278688524590163,45,3,0.3351955307262511,1.9261637239165408,188,1.7649003597624564,2.096302157048007,1.9808306709265082,10.798722044728429,4.208750958467999
2026-06-18,747,482,121,1.549792531120332,55.84664536741214,55.39936102236421,53.03514376996805,243,60,4.05,57,3,0.27155477552947005,2.5464198147935546,285,1.323164536802567,2.254856168890051,-3.3865814696485614,13.801916932907346,5.137894195161596
2026-06-22,717,542,94,1.3228782287822878,51.18210862619809,57.50798722044729,54.12140575079872,273,73,3.73972602739726,68,4,0.19474196689386325,1.4167303206094273,384,1.5592583894184298,1.633474367837998,3.3226837060702863,3.8977635782747555,6.671446375103218
2026-06-23,288,972,93,0.2962962962962963,36.16613418530352,45.11182108626198,45.68690095846645,104,135,0.7703703703703704,17,10,-1.0729613733905574,-0.16515276630882925,280,1.0563223520663059,1.117733627097257,-6.517571884984022,-10.73482428115016,3.917956641631848
2026-06-24,562,688,102,0.8168604651162791,29.456869009584665,44.34504792332268,44.281150159744406,105,122,0.860655737704918,24,5,-0.11441199799616109,0.0,233,0.8120116633982883,1.1581863859335733,-8.753993610223645,-6.517571884984029,0.5117095499832969
2026-06-25,597,644,110,0.9270186335403726,30.031948881789138,41.21405750798722,41.533546325878596,127,165,0.7696969696969697,18,3,0.0,-0.3603896103896165,196,0.6800584649843167,0.9825692309711138,-12.587859424920126,-10.670926517571878,1.1840415225842837
