dataset,market_path_state,policy,policy_column,selected_count,selected_dates,eligible_dates,average_selected_per_day,median_selected_per_day,zero_primary_date_rate,coverage,winner_count,winner_rate,neutral_count,neutral_rate,loser_count,loser_rate,loser_rate_wilson_low,loser_rate_wilson_high,safe_rate,winner_dominance,winner_recall,neutral_removal_rate,loser_removal_rate,mean_future_return_10d,median_future_return_10d,macro_daily_winner_rate,macro_daily_neutral_rate,macro_daily_loser_rate,macro_daily_safe_rate
B,NORMAL,POLICY_3_POCKET_STOCK_SURVIVAL,policy3,29,4,4,7.25,7.0,0.0,0.4603174603174603,1,0.034482758620689655,23,0.7931034482758621,5,0.1724137931034483,0.07597857204821831,0.34548440045021234,0.8275862068965517,0.041666666666666664,1.0,0.303030303030303,0.8275862068965517,-2.108703046126735,-1.9704433497537033,0.041666666666666664,0.7956349206349207,0.16269841269841268,0.8373015873015873
B,NORMAL,BUNDLE_A_DIAGNOSTIC,bundle_A,29,4,4,7.25,7.0,0.0,0.4603174603174603,1,0.034482758620689655,23,0.7931034482758621,5,0.1724137931034483,0.07597857204821831,0.34548440045021234,0.8275862068965517,0.041666666666666664,1.0,0.303030303030303,0.8275862068965517,-2.108703046126735,-1.9704433497537033,0.041666666666666664,0.7956349206349207,0.16269841269841268,0.8373015873015873
B,NORMAL,BUNDLE_B_DIAGNOSTIC,bundle_B,26,4,4,6.5,6.5,0.0,0.4126984126984127,1,0.038461538461538464,20,0.7692307692307693,5,0.19230769230769232,0.08507061095122731,0.3787625728202114,0.8076923076923077,0.047619047619047616,1.0,0.3939393939393939,0.8275862068965517,-2.2775499958705954,-2.187222433701308,0.05,0.7684523809523809,0.18154761904761904,0.8184523809523809
B,NORMAL,BUNDLE_C_DIAGNOSTIC,bundle_C,11,4,4,2.75,2.5,0.0,0.1746031746031746,0,0.0,9,0.8181818181818182,2,0.18181818181818182,0.051367689278583956,0.47698056435423286,0.8181818181818182,0.0,0.0,0.7272727272727273,0.9310344827586207,-2.412950910231499,-2.3474178403755874,0.0,0.7916666666666666,0.20833333333333331,0.7916666666666666
A+B,NORMAL,POLICY_0_CURRENT_BASELINE_PROXY,policy0,231,13,13,17.76923076923077,17.0,0.0,1.0,16,0.06926406926406926,167,0.7229437229437229,48,0.2077922077922078,0.1604610289508567,0.26468306339513026,0.7922077922077922,0.08743169398907104,1.0,0.0,0.0,-0.2272389174275767,0.19920318725097363,0.07236552920763448,0.6649213153547517,0.2627131554376136,0.7372868445623865
A+B,NORMAL,POLICY_1_MARKET_CONTRACTION,policy1,231,13,13,17.76923076923077,17.0,0.0,1.0,16,0.06926406926406926,167,0.7229437229437229,48,0.2077922077922078,0.1604610289508567,0.26468306339513026,0.7922077922077922,0.08743169398907104,1.0,0.0,0.0,-0.2272389174275767,0.19920318725097363,0.07236552920763448,0.6649213153547517,0.2627131554376136,0.7372868445623865
A+B,NORMAL,POLICY_2_POCKET_GATE,policy2,144,12,13,11.076923076923077,13.0,0.07692307692307693,0.6233766233766234,14,0.09722222222222222,87,0.6041666666666666,43,0.2986111111111111,0.22988812419610868,0.37779972981398324,0.7013888888888888,0.13861386138613863,0.875,0.47904191616766467,0.10416666666666663,-1.0882403097211568,-1.8227869124730123,0.09519021283727165,0.5805058027484499,0.3243039844142785,0.6756960155857215
A+B,NORMAL,POLICY_3_POCKET_STOCK_SURVIVAL,policy3,58,11,13,4.461538461538462,5.0,0.15384615384615385,0.2510822510822511,5,0.08620689655172414,44,0.7586206896551724,9,0.15517241379310345,0.08384491912437281,0.2693398096385828,0.8448275862068966,0.10204081632653061,0.3125,0.7365269461077844,0.8125,1.1571005880698468,-1.1333377712687998,0.10151515151515152,0.7415945165945167,0.15689033189033186,0.843109668109668
A+B,NORMAL,BUNDLE_A_DIAGNOSTIC,bundle_A,75,13,13,5.769230769230769,6.0,0.0,0.3246753246753247,5,0.06666666666666667,60,0.8,10,0.13333333333333333,0.07406584669872786,0.22833163832487874,0.8666666666666667,0.07692307692307693,0.3125,0.6407185628742516,0.7916666666666666,1.0543456942805731,-0.6802721088435382,0.08333333333333333,0.7721611721611722,0.14450549450549446,0.8554945054945056
A+B,NORMAL,BUNDLE_B_DIAGNOSTIC,bundle_B,59,13,13,4.538461538461538,5.0,0.0,0.2554112554112554,3,0.05084745762711865,47,0.7966101694915254,9,0.15254237288135594,0.0823846395871402,0.26517983886574376,0.847457627118644,0.06,0.1875,0.718562874251497,0.8125,0.7248588669096037,-1.1083743842364546,0.041025641025641026,0.7855921855921857,0.17338217338217338,0.8266178266178266
A+B,NORMAL,BUNDLE_C_DIAGNOSTIC,bundle_C,29,13,13,2.230769230769231,2.0,0.0,0.12554112554112554,1,0.034482758620689655,24,0.8275862068965517,4,0.13793103448275862,0.054974399258594736,0.3055899387659865,0.8620689655172413,0.04,0.0625,0.8562874251497006,0.9166666666666666,1.2721055488681463,-1.1583011583011449,0.019230769230769232,0.8205128205128205,0.16025641025641024,0.8397435897435896
