stock_id,episode_start_date,dataset,entry_close,path_outcome,winner_hit_date,loser_hit_date,day10_outcome,future_return_10d
00907,2026-06-15,A,16.36,NO_BARRIER_HIT,,,NEUTRAL,-0.9168704156479079
00908,2026-06-15,A,15.12,NO_BARRIER_HIT,,,NEUTRAL,0.5952380952381153
00912,2026-06-15,A,33.87,NO_BARRIER_HIT,,,NEUTRAL,1.4762326542663073
00915,2026-06-15,A,31.46,NO_BARRIER_HIT,,,NEUTRAL,3.242212333121408
00918,2026-06-15,A,31.88,NO_BARRIER_HIT,,,NEUTRAL,0.7841907151819427
00923,2026-06-15,A,42.39,NO_BARRIER_HIT,,,NEUTRAL,1.5805614531729129
00927,2026-06-15,A,39.61,HIT_WINNER_FIRST,2026-06-23,,NEUTRAL,5.402676091895997
00929,2026-06-15,A,30.49,NO_BARRIER_HIT,,,NEUTRAL,0.951131518530679
00930,2026-06-15,A,24.74,NO_BARRIER_HIT,,,NEUTRAL,0.8488278092158463
00935,2026-06-15,A,60.85,NO_BARRIER_HIT,,,NEUTRAL,2.629416598192269
00939,2026-06-15,A,21.27,NO_BARRIER_HIT,,,NEUTRAL,0.8932769158439102
00941,2026-06-15,A,28.58,NO_BARRIER_HIT,,,NEUTRAL,4.163750874737593
00944,2026-06-15,A,21.36,NO_BARRIER_HIT,,,NEUTRAL,4.260299625468167
00947,2026-06-15,A,38.66,HIT_WINNER_FIRST,2026-06-22,,NEUTRAL,2.6125193998965512
00951,2026-06-15,A,19.75,NO_BARRIER_HIT,,,NEUTRAL,6.278481012658221
00954,2026-06-15,A,21.08,NO_BARRIER_HIT,,,NEUTRAL,6.166982922201147
009802,2026-06-15,A,19.92,HIT_LOSER_FIRST,,2026-06-26,NEUTRAL,-2.5602409638554313
009804,2026-06-15,A,23.67,NO_BARRIER_HIT,,,NEUTRAL,2.4081115335867986
00988A,2026-06-15,A,22.36,NO_BARRIER_HIT,,,NEUTRAL,-0.3577817531305816
00990A,2026-06-15,A,20.47,NO_BARRIER_HIT,,,NEUTRAL,1.514411333659016
2891,2026-06-15,A,70.1,NO_BARRIER_HIT,,,NEUTRAL,1.2838801711840375
3041,2026-06-15,A,27.0,HIT_WINNER_FIRST,2026-06-22,,NEUTRAL,5.9259259259259345
3044,2026-06-15,A,520.0,HIT_WINNER_FIRST,2026-06-18,,NEUTRAL,-0.38461538461538325
4551,2026-06-15,A,167.0,HIT_WINNER_FIRST,2026-06-17,,WINNER,34.730538922155695
4952,2026-06-15,A,58.5,HIT_LOSER_FIRST,,2026-06-26,NEUTRAL,-1.7094017094017144
5434,2026-06-15,A,468.0,HIT_WINNER_FIRST,2026-06-29,,WINNER,17.307692307692314
5471,2026-06-15,A,57.4,HIT_WINNER_FIRST,2026-06-22,,NEUTRAL,7.317073170731714
6191,2026-06-15,A,103.0,NO_BARRIER_HIT,,,NEUTRAL,3.398058252427183
6202,2026-06-15,A,65.2,HIT_WINNER_FIRST,2026-06-22,,NEUTRAL,-0.15337423312884457
0052,2026-06-16,A,61.85,NO_BARRIER_HIT,,,NEUTRAL,4.122877930476965
0053,2026-06-16,A,241.8,NO_BARRIER_HIT,,,NEUTRAL,3.3912324234904867
0057,2026-06-16,A,314.05,NO_BARRIER_HIT,,,NEUTRAL,3.327495621716281
00851,2026-06-16,A,73.85,NO_BARRIER_HIT,,,NEUTRAL,1.8280297901151155
00861,2026-06-16,A,95.6,NO_BARRIER_HIT,,,NEUTRAL,1.5167364016736462
00881,2026-06-16,A,54.85,NO_BARRIER_HIT,,,NEUTRAL,1.823154056517784
00892,2026-06-16,A,44.99,NO_BARRIER_HIT,,,NEUTRAL,3.2451655923538603
00893,2026-06-16,A,47.54,HIT_LOSER_FIRST,,2026-06-29,NEUTRAL,-0.08413967185527671
00898,2026-06-16,A,8.44,NO_BARRIER_HIT,,,NEUTRAL,10.18957345971565
00911,2026-06-16,A,66.75,NO_BARRIER_HIT,,,NEUTRAL,2.4719101123595655
00913,2026-06-16,A,52.0,NO_BARRIER_HIT,,,NEUTRAL,5.09615384615385
00922,2026-06-16,A,40.48,NO_BARRIER_HIT,,,NEUTRAL,3.532608695652173
009809,2026-06-16,A,17.4,NO_BARRIER_HIT,,,NEUTRAL,5.114942528735633
00980A,2026-06-16,A,24.6,NO_BARRIER_HIT,,,NEUTRAL,1.2601626016260026
009816,2026-06-16,A,15.51,NO_BARRIER_HIT,,,NEUTRAL,2.063185041908455
