stock_id,stock_name,evaluation_date,dataset,policy,market_gate_pass,pocket_gate_pass,state_aware_pocket_gate_pass,survival_gate_pass,selected,outcome,future_return_10d,data_status
2012,春雨,2026-07-06,B,P3_SURVIVAL_ONLY,True,True,True,False,False,NEUTRAL,-4.242424242424237,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2033,佳大,2026-07-06,B,P3_SURVIVAL_ONLY,True,True,True,False,False,LOSER,-7.62195121951218,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2104,國際中橡,2026-07-06,B,P3_SURVIVAL_ONLY,True,True,True,False,False,LOSER,-8.771929824561408,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2885,元大金,2026-07-06,B,P3_SURVIVAL_ONLY,True,True,True,False,False,LOSER,-10.380116959064337,RECONSTRUCTED_NOT_PRODUCTION_EXACT
3031,佰鴻,2026-07-06,B,P3_SURVIVAL_ONLY,True,True,True,False,False,LOSER,-26.51851851851852,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6235,華孚,2026-07-06,B,P3_SURVIVAL_ONLY,True,True,True,False,False,LOSER,-14.909478168264112,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6782,視陽,2026-07-06,B,P3_SURVIVAL_ONLY,True,True,True,False,False,LOSER,-6.714628297362113,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6918,愛派司,2026-07-06,B,P3_SURVIVAL_ONLY,True,True,True,True,True,NEUTRAL,-3.443708609271512,RECONSTRUCTED_NOT_PRODUCTION_EXACT
9912,偉聯,2026-07-06,B,P3_SURVIVAL_ONLY,True,True,True,True,True,NEUTRAL,-0.7874015748031482,RECONSTRUCTED_NOT_PRODUCTION_EXACT
1419,新紡,2026-07-07,B,P3_SURVIVAL_ONLY,True,True,True,False,False,NEUTRAL,-0.1515151515151469,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2034,允強,2026-07-07,B,P3_SURVIVAL_ONLY,True,True,True,True,True,NEUTRAL,-5.32687651331718,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2208,台船,2026-07-07,B,P3_SURVIVAL_ONLY,True,False,False,False,False,NEUTRAL,3.076923076923088,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2390,云辰,2026-07-07,B,P3_SURVIVAL_ONLY,True,True,True,False,False,LOSER,-12.355212355212352,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2480,敦陽科,2026-07-07,B,P3_SURVIVAL_ONLY,True,True,True,True,True,NEUTRAL,-1.851851851851849,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2901,欣欣,2026-07-07,B,P3_SURVIVAL_ONLY,True,True,True,False,False,NEUTRAL,1.2396694214876105,RECONSTRUCTED_NOT_PRODUCTION_EXACT
3545,敦泰,2026-07-07,B,P3_SURVIVAL_ONLY,True,False,False,False,False,LOSER,-11.908931698774085,RECONSTRUCTED_NOT_PRODUCTION_EXACT
4133,亞諾法,2026-07-07,B,P3_SURVIVAL_ONLY,True,True,True,True,True,NEUTRAL,2.1226415094339535,RECONSTRUCTED_NOT_PRODUCTION_EXACT
4438,廣越,2026-07-07,B,P3_SURVIVAL_ONLY,True,True,True,True,True,NEUTRAL,-2.8799999999999937,RECONSTRUCTED_NOT_PRODUCTION_EXACT
4576,大銀微系統,2026-07-07,B,P3_SURVIVAL_ONLY,True,True,True,False,False,LOSER,-11.210762331838565,RECONSTRUCTED_NOT_PRODUCTION_EXACT
4961,天鈺,2026-07-07,B,P3_SURVIVAL_ONLY,True,True,True,False,False,LOSER,-6.000000000000005,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6201,亞弘電,2026-07-07,B,P3_SURVIVAL_ONLY,True,True,True,True,True,NEUTRAL,-0.3051881993896166,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6416,瑞祺電通,2026-07-07,B,P3_SURVIVAL_ONLY,True,True,True,True,True,WINNER,16.483516483516492,RECONSTRUCTED_NOT_PRODUCTION_EXACT
6873,泓德能源-創,2026-07-07,B,P3_SURVIVAL_ONLY,True,True,True,False,False,NEUTRAL,-1.7937219730941756,RECONSTRUCTED_NOT_PRODUCTION_EXACT
1203,味王,2026-07-08,B,P3_SURVIVAL_ONLY,False,True,True,False,False,NEUTRAL,8.755760368663612,RECONSTRUCTED_NOT_PRODUCTION_EXACT
1416,廣豐,2026-07-08,B,P3_SURVIVAL_ONLY,True,True,True,True,True,NEUTRAL,0.0,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2388,威盛,2026-07-08,B,P3_SURVIVAL_ONLY,False,False,False,False,False,NEUTRAL,-1.2113055181695698,RECONSTRUCTED_NOT_PRODUCTION_EXACT
2427,三商電,2026-07-08,B,P3_SURVIVAL_ONLY,False,False,False,False,False,LOSER,-9.197651663405091,RECONSTRUCTED_NOT_PRODUCTION_EXACT
3416,融程電,2026-07-08,B,P3_SURVIVAL_ONLY,False,True,False,False,False,NEUTRAL,-4.545454545454541,RECONSTRUCTED_NOT_PRODUCTION_EXACT
