stock_id,episode_start_date,action_date,old_episode_return_copied_to_candidate_day,old_episode_outcome_copied_to_candidate_day,recalculated_forward_return_10d_from_action_date,forward_outcome_from_action_date,forward_maturity_date,copy_pattern_detected,outcome_label_changed_after_recalculation,audit_classification
00830,2026-06-15,2026-06-15,-0.6602336211274817,NEUTRAL,-0.6602336211274817,NEUTRAL,2026-06-30,False,False,NO_COPY_PATTERN
00830,2026-06-15,2026-06-16,-0.6602336211274817,NEUTRAL,1.422041645505323,NEUTRAL,2026-07-01,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00830,2026-06-15,2026-06-22,-0.6602336211274817,NEUTRAL,-8.15109343936381,LOSER,2026-07-06,True,True,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00830,2026-06-15,2026-07-01,-0.6602336211274817,NEUTRAL,-10.816224336504753,LOSER,2026-07-16,True,True,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00850,2026-06-15,2026-06-15,1.8815716657443415,NEUTRAL,1.8815716657443415,NEUTRAL,2026-06-30,False,False,NO_COPY_PATTERN
00850,2026-06-15,2026-06-16,1.8815716657443415,NEUTRAL,2.1416803953871577,NEUTRAL,2026-07-01,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00850,2026-06-15,2026-06-18,1.8815716657443415,NEUTRAL,0.27041644131964304,NEUTRAL,2026-07-03,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00850,2026-06-15,2026-06-22,1.8815716657443415,NEUTRAL,-2.5789473684210584,NEUTRAL,2026-07-06,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00851,2026-06-16,2026-06-16,1.8280297901151157,NEUTRAL,1.8280297901151155,NEUTRAL,2026-07-01,False,False,NO_COPY_PATTERN
00861,2026-06-16,2026-06-16,1.5167364016736462,NEUTRAL,1.5167364016736462,NEUTRAL,2026-07-01,False,False,NO_COPY_PATTERN
00861,2026-06-16,2026-06-18,1.5167364016736462,NEUTRAL,-4.467532467532465,NEUTRAL,2026-07-03,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00861,2026-06-16,2026-07-01,1.5167364016736462,NEUTRAL,-8.603812467800099,LOSER,2026-07-16,True,True,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00865B,2026-06-30,2026-06-30,1.0923330585325577,NEUTRAL,1.0923330585325575,NEUTRAL,2026-07-15,False,False,NO_COPY_PATTERN
00875,2026-06-30,2026-06-30,8.83813306852035,NEUTRAL,8.83813306852035,NEUTRAL,2026-07-15,False,False,NO_COPY_PATTERN
00875,2026-06-30,2026-07-23,8.83813306852035,NEUTRAL,,,,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00876,2026-06-15,2026-06-15,7.233181588265047,NEUTRAL,7.233181588265047,NEUTRAL,2026-06-30,False,False,NO_COPY_PATTERN
00876,2026-06-15,2026-06-16,7.233181588265047,NEUTRAL,7.4850299401197695,NEUTRAL,2026-07-01,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00876,2026-06-15,2026-06-18,7.233181588265047,NEUTRAL,-1.4264633546483108,NEUTRAL,2026-07-03,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00876,2026-06-15,2026-06-22,7.233181588265047,NEUTRAL,-4.865125240847778,NEUTRAL,2026-07-06,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00876,2026-06-15,2026-06-30,7.233181588265047,NEUTRAL,-9.009433962264147,LOSER,2026-07-15,True,True,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00876,2026-06-15,2026-07-01,7.233181588265047,NEUTRAL,-12.906220984215421,LOSER,2026-07-16,True,True,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00881,2026-06-16,2026-06-16,1.823154056517784,NEUTRAL,1.823154056517784,NEUTRAL,2026-07-01,False,False,NO_COPY_PATTERN
00892,2026-06-16,2026-06-16,3.2451655923538603,NEUTRAL,3.2451655923538603,NEUTRAL,2026-07-01,False,False,NO_COPY_PATTERN
00893,2026-06-16,2026-06-16,-0.0841396718552767,NEUTRAL,-0.08413967185527671,NEUTRAL,2026-07-01,False,False,NO_COPY_PATTERN
00896,2026-06-18,2026-06-18,1.2155881301394444,NEUTRAL,1.2155881301394444,NEUTRAL,2026-07-03,False,False,NO_COPY_PATTERN
00896,2026-06-18,2026-06-22,1.2155881301394444,NEUTRAL,-0.6654991243432606,NEUTRAL,2026-07-06,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00897,2026-06-30,2026-06-30,-1.5030946065428763,NEUTRAL,-1.5030946065428763,NEUTRAL,2026-07-15,False,False,NO_COPY_PATTERN
00897,2026-06-30,2026-07-01,-1.5030946065428763,NEUTRAL,0.267618198037467,NEUTRAL,2026-07-16,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
00897,2026-06-30,2026-07-22,-1.5030946065428763,NEUTRAL,,,,True,False,LIFECYCLE_OUTCOME_LEAKAGE_FOUND
