stock_id,stock_name,episode_start_date,entry_close,day1_return,day3_return,day5_return,day10_return,maturity_status,selection_use
4770,上品,2026-07-23,229.5,-0.8714596949891074,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
6277,宏正,2026-07-23,77.4,0.7751937984496138,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
6505,台塑化,2026-07-23,93.2,-7.939914163090133,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
6579,研揚,2026-07-23,183.5,-1.6348773841961872,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
6669,緯穎,2026-07-23,5470.0,4.753199268738584,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
6670,復盛應用,2026-07-23,264.0,1.325757575757569,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
6957,裕慶-KY,2026-07-23,243.0,-1.2345679012345734,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
8114,振樺電,2026-07-23,232.0,-0.8620689655172376,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
00642U,期元大S&P石油,2026-07-24,30.14,-7.830126078301259,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
2603,長榮,2026-07-24,206.0,-1.2135922330097082,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
2634,漢翔,2026-07-24,65.4,-5.504587155963314,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
2637,慧洋-KY,2026-07-24,83.8,-1.7899761336515496,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
3416,融程電,2026-07-24,183.5,-5.722070844686645,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
3706,神達,2026-07-24,91.3,-0.10952902519166807,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
6166,凌華,2026-07-24,166.5,-9.909909909909908,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
6243,迅杰,2026-07-24,52.2,-5.747126436781613,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
6477,安集,2026-07-24,38.85,-5.920205920205934,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
6533,晶心科,2026-07-24,217.0,-1.6129032258064502,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
9921,巨大,2026-07-24,88.7,-3.6076662908680945,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
1301,台塑,2026-07-27,61.7,,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
1326,台化,2026-07-27,65.0,,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
2059,川湖,2026-07-27,8275.0,,,,,PENDING_FORWARD,EXCLUDED_FROM_POLICY_SELECTION
